n,gamma_0,gamma_1,gamma_opt
0,0.989,0.981,0.971
1,0.903212308883667,0.9721030592918396,0.9692130088806152
2,0.8712043166160583,0.8027543425559998,0.6293339729309082
3,0.8512160778045654,0.6858319640159607,0.4704185724258423
4,0.7638328671455383,0.6601349115371704,0.46623945236206055
