,time,C_red_0,C_red_1,C_red_l
0,0.0,0.5,0.5,0.5
1,1.1111111111111112,2.1554723667114004,1.183768459393352,0.2345214244859359
2,2.2222222222222223,3.2282443926902227,1.2257269247937503,0.305181093617916
3,3.333333333333333,3.898183085970104,1.244076644125228,0.3329122679187164
4,4.444444444444445,4.185293366854747,0.9851971992726553,0.307350952661103
5,5.555555555555555,4.163175704421375,1.35007766465225,0.3701148444405329
6,6.666666666666667,4.122739485063478,1.554465663429395,0.4039527579201911
7,7.777777777777779,3.935044331709359,1.3755395239126582,0.3324446852294687
8,8.88888888888889,4.140919330198628,1.0449777155817903,0.3128198471922208
9,10.0,4.240913211684182,1.1075149727529343,0.3054652708575024
