,time,psink_0,psink_1,psink_l
0,0.0,0.0,0.0,0.0
1,1.1111111111111112,0.1992874842867867,0.1888865191456857,0.1463810968791983
2,2.2222222222222223,0.2908250298434015,0.3131991004182563,0.2663269428194394
3,3.333333333333333,0.3463422433620993,0.3845729121159178,0.3432366150287392
4,4.444444444444445,0.3934453977540585,0.4069178398106317,0.3808796082762666
5,5.555555555555555,0.4136152373154548,0.4453398821123948,0.419342111855721
6,6.666666666666667,0.4325213849272814,0.4645561213123131,0.4447166462521923
7,7.777777777777779,0.4566481756317758,0.43566288415259,0.4334139197481655
8,8.88888888888889,0.4568839102504335,0.3834312189310414,0.4197965910903617
9,10.0,0.4479579688058679,0.381245253729252,0.4154268189542331
