,time,C_0,C_1,C_l
0,0.0,1.0,1.0,1.0
1,1.1111111111111112,13.103517767072246,6.70162069318385,1.5181926209816017
2,2.2222222222222223,26.8003616980038,8.2046634860746,2.500899325305827
3,3.333333333333333,37.68897974705721,9.170779665137516,3.2639609324074126
4,4.444444444444445,42.90503747480952,6.81002288219941,2.756865697239068
5,5.555555555555555,42.49160144705171,8.8411151211054,3.229586862109496
6,6.666666666666667,41.74069564980363,11.364343839903844,4.100909904250532
7,7.777777777777779,38.34055458464019,10.235128440505749,3.5881479093688093
8,8.88888888888889,42.07761911472284,7.106934086765302,3.064054773866679
9,10.0,43.95391559765756,7.058202311930283,3.0442270926582644
